"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.592719770E-1,6.499655880E1,2.551600970E1,1.793480362E1,NaN,NaN,1.531200027E1,1.000000000E0
1.117460307E0,6.499655880E1,2.551600970E1,1.793480362E1,NaN,NaN,2.131800079E1,2.201200008E0
1.421030461E0,6.499655880E1,2.551600970E1,1.793480362E1,NaN,NaN,2.343899918E1,2.625400066E0
1.440511615E0,6.499655880E1,2.551600970E1,1.793480362E1,NaN,NaN,2.357900047E1,2.653399944E0
1.616613538E0,6.499655880E1,2.551600970E1,2.723480591E1,0.000000000E0,3.022999954E1,2.357900047E1,2.653399944E0
3.301271977E0,6.499677167E1,2.551597833E1,9.435006407E0,1.564240813E0,1.529600067E2,6.400000095E0,1.018000031E2
4.301271977E0,6.499672167E1,2.551603000E1,4.834953683E0,1.548799157E0,1.528399963E2,3.400000095E0,2.029999924E1
5.301271977E0,6.499669667E1,2.551603667E1,4.634929756E0,9.270147085E-1,1.562899933E2,3.099999905E0,1.900000000E1
6.301271977E0,6.499670333E1,2.551601333E1,2.534938876E0,4.205280542E-1,1.529600067E2,2.900000095E0,1.889999962E1
7.301271977E0,6.499665167E1,2.551599500E1,-2.651064923E-1,4.910449982E-1,1.613600006E2,2.500000000E0,1.870000076E1
8.946271977E0,6.499661500E1,2.551603500E1,1.034854574E0,9.666483402E-1,1.749600067E2,2.400000095E0,1.850000000E1
9.946271977E0,6.499658500E1,2.551607167E1,1.334822217E0,1.274452209E0,1.898899994E2,2.299999952E0,1.770000076E1
1.094627198E1,6.499655333E1,2.551608833E1,1.434790864E0,1.416000843E0,1.975800018E2,2.200000048E0,1.600000000E1
1.194627198E1,6.499652333E1,2.551610500E1,3.347610487E-1,1.128271103E0,1.871399994E2,2.099999905E0,1.480000019E1
1.294627198E1,6.499650500E1,2.551611167E1,-7.652567245E-1,6.047986150E-1,1.927899933E2,2.000000000E0,1.350000000E1
1.394627198E1,6.499650000E1,2.551610500E1,-1.565260493E0,8.595860749E-2,1.927899933E2,1.799999952E0,1.260000038E1
1.494627198E1,6.499649500E1,2.551610333E1,-1.065264897E0,6.485500187E-2,1.927899933E2,1.700000048E0,1.239999962E1
1.594627198E1,6.499648500E1,2.551610167E1,-6.527391754E-2,3.469227850E-1,2.070099945E2,1.600000024E0,1.160000038E1
1.694627198E1,6.499647333E1,2.551610333E1,1.234715100E0,5.265608430E-1,1.649799957E2,1.600000024E0,1.150000000E1
1.794627198E1,6.499646833E1,2.551610667E1,1.534710060E0,6.413438916E-1,1.627799988E2,1.600000024E0,1.200000000E1
1.894627198E1,6.499645333E1,2.551613000E1,2.334693245E0,9.491477609E-1,1.416100006E2,1.600000024E0,1.219999981E1
1.994627198E1,6.499644333E1,2.551615667E1,2.734680622E0,1.217832804E0,1.131699982E2,1.600000024E0,1.269999981E1
2.094627198E1,6.499643333E1,2.551619167E1,3.334666939E0,1.404162169E0,1.147099991E2,1.500000000E0,1.319999981E1
2.194627198E1,6.499642333E1,2.551622167E1,3.734653892E0,1.377911329E0,1.110800018E2,1.500000000E0,1.339999962E1
2.294627198E1,6.499642000E1,2.551626000E1,4.234645940E0,1.455634475E0,1.094400024E2,1.600000024E0,1.400000000E1
2.394627198E1,6.499641667E1,2.551629667E1,4.434638200E0,1.371219993E0,9.981999969E1,1.500000000E0,1.310000038E1
2.494627198E1,6.499641500E1,2.551633500E1,5.434631786E0,1.057754159E0,1.050800018E2,1.600000024E0,1.350000000E1
2.594627198E1,6.499641500E1,2.551636833E1,5.834627548E0,1.135477185E0,1.131900024E2,1.500000000E0,1.339999962E1
2.694627198E1,6.499641333E1,2.551640167E1,6.234621770E0,1.205479503E0,1.045000000E2,1.600000024E0,1.380000019E1
2.794627198E1,6.499641333E1,2.551643333E1,6.734617743E0,1.235848069E0,1.019199982E2,1.700000048E0,1.439999962E1
2.894627198E1,6.499641000E1,2.551646167E1,7.234611062E0,1.260554671E0,1.006600037E2,1.600000024E0,1.419999981E1
2.994627198E1,6.499640833E1,2.551648167E1,7.934606980E0,1.210111976E0,1.276900024E2,1.500000000E0,1.430000019E1
3.094627198E1,6.499640167E1,2.551649667E1,8.534598917E0,1.156580806E0,1.492299957E2,1.500000000E0,1.389999962E1
3.194627198E1,6.499639000E1,2.551650667E1,9.234586873E0,1.114888310E0,1.595500031E2,1.399999976E0,1.369999981E1
3.294627198E1,6.499638000E1,2.551652000E1,9.834575944E0,1.080916643E0,1.592200012E2,1.399999976E0,1.380000019E1
3.394627198E1,6.499636667E1,2.551652667E1,1.033456278E1,1.070622206E0,1.767500000E2,1.399999976E0,1.380000019E1
3.494627198E1,6.499635500E1,2.551652833E1,1.093455180E1,1.072166443E0,1.813899994E2,1.399999976E0,1.380000019E1
3.594627198E1,6.499634167E1,2.551653333E1,1.153453885E1,1.078857780E0,1.784299927E2,1.399999976E0,1.119999981E1
3.694627198E1,6.499633000E1,2.551653833E1,1.193452744E1,1.053121686E0,1.762899933E2,1.500000000E0,1.060000038E1
3.794627198E1,6.499632167E1,2.551654833E1,1.243451848E1,1.056724668E0,1.594900055E2,1.500000000E0,1.010000038E1
3.894627198E1,6.499630833E1,2.551656000E1,1.293450468E1,1.059298277E0,1.677700043E2,1.500000000E0,9.800000191E0
3.994627198E1,6.499629667E1,2.551656333E1,1.343449349E1,1.113344193E0,1.814499969E2,1.500000000E0,9.899999619E0
4.094627198E1,6.499628500E1,2.551656333E1,1.383448271E1,1.120550275E0,1.815099945E2,1.500000000E0,9.800000191E0
4.194627198E1,6.499627500E1,2.551656667E1,1.423447306E1,1.147830606E0,1.721199951E2,1.500000000E0,1.000000000E1
4.294627198E1,6.499626333E1,2.551657167E1,1.433446165E1,1.168419480E0,1.784799957E2,1.500000000E0,1.000000000E1
4.394627198E1,6.499625000E1,2.551657167E1,1.443444934E1,1.182316899E0,1.912299957E2,1.500000000E0,1.019999981E1
4.494627198E1,6.499623833E1,2.551657167E1,1.483443856E1,1.163786888E0,1.845399933E2,1.500000000E0,1.050000000E1
4.594627198E1,6.499622667E1,2.551657000E1,1.513442800E1,1.140624404E0,1.838800049E2,1.500000000E0,1.000000000E1
4.694627198E1,6.499621333E1,2.551657333E1,1.553441527E1,1.193126082E0,1.813899994E2,1.500000000E0,9.699999809E0
4.794627198E1,6.499620000E1,2.551657667E1,1.603440253E1,1.197243929E0,1.791699982E2,1.500000000E0,9.699999809E0
4.894627198E1,6.499619000E1,2.551657833E1,1.613439309E1,1.178713918E0,1.795299988E2,1.500000000E0,9.800000191E0
4.994627198E1,6.499617500E1,2.551658000E1,1.623437902E1,1.153492451E0,1.757899933E2,1.500000000E0,9.699999809E0
5.094627198E1,6.499616000E1,2.551657333E1,1.663436602E1,1.183861136E0,1.882700043E2,1.500000000E0,9.600000381E0
5.194627198E1,6.499614500E1,2.551656000E1,1.673435387E1,1.170993090E0,1.921100006E2,1.500000000E0,9.800000191E0
5.294627198E1,6.499612833E1,2.551654833E1,1.663433996E1,1.142683387E0,1.949299927E2,1.500000000E0,1.050000000E1
5.394627198E1,6.499611500E1,2.551654667E1,1.673432786E1,1.129300594E0,1.831399994E2,1.500000000E0,1.000000000E1
5.494627198E1,6.499610333E1,2.551655000E1,1.673431667E1,1.138565540E0,1.757799988E2,1.500000000E0,1.019999981E1
5.594627198E1,6.499609167E1,2.551656000E1,1.673430462E1,1.144742250E0,1.752599945E2,1.500000000E0,1.019999981E1
5.694627198E1,6.499608000E1,2.551657000E1,1.673429257E1,1.086063862E0,1.596999969E2,1.500000000E0,1.039999962E1
5.794627198E1,6.499606833E1,2.551658000E1,1.673428053E1,1.091725826E0,1.623300018E2,1.500000000E0,9.399999619E0
5.894627198E1,6.499605500E1,2.551658333E1,1.673426779E1,1.138050795E0,1.744799957E2,1.500000000E0,9.100000381E0
5.994627198E1,6.499604167E1,2.551658500E1,1.673425527E1,1.143198013E0,1.738500061E2,1.500000000E0,8.899999619E0
6.094627198E1,6.499603167E1,2.551658333E1,1.683424625E1,1.103564501E0,1.831600037E2,1.500000000E0,9.100000381E0
6.194627198E1,6.499602000E1,2.551657667E1,1.693423632E1,1.108711720E0,1.784299927E2,1.500000000E0,9.100000381E0
6.294627198E1,6.499600667E1,2.551658000E1,1.703422359E1,1.119006157E0,1.742700043E2,1.500000000E0,9.199999809E0
6.394627198E1,6.499599167E1,2.551658833E1,1.693420868E1,1.103049755E0,1.664499969E2,1.500000000E0,9.199999809E0
6.494627198E1,6.499598000E1,2.551658333E1,1.683419854E1,1.093269944E0,1.781100006E2,1.500000000E0,9.300000191E0
6.594627198E1,6.499596667E1,2.551657833E1,1.673418687E1,1.130844712E0,1.728800049E2,1.399999976E0,9.600000381E0
6.694627198E1,6.499595167E1,2.551657833E1,1.673417301E1,1.176140308E0,1.719299927E2,1.399999976E0,9.600000381E0
6.794627198E1,6.499593667E1,2.551657167E1,1.673416001E1,1.191067219E0,1.715599976E2,1.399999976E0,9.600000381E0
6.894627198E1,6.499592167E1,2.551657500E1,1.673414574E1,1.161213279E0,1.702899933E2,1.399999976E0,9.600000381E0
6.994627198E1,6.499591000E1,2.551657667E1,1.673413475E1,1.177169681E0,1.809600067E2,1.299999952E0,9.800000191E0
7.094627198E1,6.499589833E1,2.551657667E1,1.673412398E1,1.198788047E0,1.816399994E2,1.299999952E0,9.300000191E0
7.194627198E1,6.499588833E1,2.551657667E1,1.673411475E1,1.210626721E0,1.781600037E2,1.299999952E0,9.100000381E0
7.294627198E1,6.499587500E1,2.551657667E1,1.663410244E1,1.217318058E0,1.811999969E2,1.299999952E0,9.399999619E0
7.394627198E1,6.499586333E1,2.551657833E1,1.663409145E1,1.232244968E0,1.726600037E2,1.299999952E0,9.100000381E0
7.494627198E1,6.499585000E1,2.551658500E1,1.653407829E1,1.244083643E0,1.753500061E2,1.299999952E0,9.199999809E0
7.594627198E1,6.499584000E1,2.551658833E1,1.633406863E1,1.233789206E0,1.684900055E2,1.299999952E0,9.300000191E0
7.694627198E1,6.499582833E1,2.551659333E1,1.613405722E1,1.212170839E0,1.803999939E2,1.299999952E0,9.500000000E0
7.794627198E1,6.499581833E1,2.551659667E1,1.603404756E1,1.208567739E0,1.679799957E2,1.299999952E0,9.500000000E0
7.894627198E1,6.499580667E1,2.551660667E1,1.583403552E1,1.232244968E0,1.703899994E2,1.299999952E0,9.199999809E0
7.994627198E1,6.499579500E1,2.551661167E1,1.573402411E1,1.234818578E0,1.727400055E2,1.299999952E0,9.100000381E0
8.094627198E1,6.499578333E1,2.551661667E1,1.553401270E1,1.233789206E0,1.665500031E2,1.299999952E0,9.100000381E0
8.194627198E1,6.499577667E1,2.551662000E1,1.533400612E1,1.209597230E0,1.729100037E2,1.299999952E0,9.100000381E0
8.294627198E1,6.499576667E1,2.551662167E1,1.513399667E1,1.200846910E0,1.722100067E2,1.299999952E0,9.500000000E0
8.394627198E1,6.499575667E1,2.551662667E1,1.493398680E1,1.214229703E0,1.654100037E2,1.299999952E0,9.500000000E0
8.494627198E1,6.499574500E1,2.551663500E1,1.473397497E1,1.240995288E0,1.687700043E2,1.299999952E0,9.600000381E0
8.594627198E1,6.499573333E1,2.551664167E1,1.443396334E1,1.236877441E0,1.728000031E2,1.299999952E0,9.500000000E0
8.694627198E1,6.499572333E1,2.551665000E1,1.403395305E1,1.250774980E0,1.620399933E2,1.399999976E0,9.600000381E0
8.794627198E1,6.499571500E1,2.551666167E1,1.413394387E1,1.259525299E0,1.648600006E2,1.500000000E0,9.800000191E0
8.894627198E1,6.499570500E1,2.551667667E1,1.453393272E1,1.216288567E0,1.632899933E2,1.500000000E0,9.300000191E0
8.994627198E1,6.499569667E1,2.551668500E1,1.493392397E1,1.229671359E0,1.733399963E2,1.500000000E0,9.300000191E0
9.094627198E1,6.499568667E1,2.551669167E1,1.513391388E1,1.239451170E0,1.708399963E2,1.399999976E0,9.500000000E0
9.194627198E1,6.499567833E1,2.551669167E1,1.553390619E1,1.250774980E0,1.663800049E2,1.399999976E0,8.899999619E0
9.294627198E1,6.499566833E1,2.551670000E1,1.603389589E1,1.269819736E0,1.591999969E2,1.399999976E0,9.199999809E0
9.394627198E1,6.499565667E1,2.551670833E1,1.653388406E1,1.247686625E0,1.680700073E2,1.500000000E0,9.399999619E0
9.494627198E1,6.499564500E1,2.551671000E1,1.713387307E1,1.215259194E0,1.758500061E2,1.600000024E0,9.600000381E0
9.594627198E1,6.499563333E1,2.551671167E1,1.783386209E1,1.228127241E0,1.699499969E2,1.600000024E0,9.600000381E0
9.694627198E1,6.499562000E1,2.551672333E1,1.833384829E1,1.240995288E0,1.648300018E2,1.500000000E0,9.600000381E0
9.794627198E1,6.499560667E1,2.551673833E1,1.903383406E1,1.212170839E0,1.718699951E2,1.600000024E0,9.500000000E0
9.894627198E1,6.499559667E1,2.551674167E1,1.963382440E1,1.199302793E0,1.595099945E2,1.500000000E0,9.800000191E0
9.994627198E1,6.499558833E1,2.551675333E1,2.023381522E1,1.185405254E0,1.674199982E2,1.500000000E0,9.399999619E0
1.009462720E2,6.499557500E1,2.551676333E1,2.063380164E1,1.187464118E0,1.691600037E2,1.500000000E0,9.600000381E0
1.019462720E2,6.499556333E1,2.551677500E1,2.083378938E1,1.196729183E0,1.611499939E2,1.600000024E0,9.500000000E0
1.029462720E2,6.499555333E1,2.551678833E1,2.093377844E1,1.163272262E0,1.581600037E2,1.600000024E0,9.699999809E0
1.039462720E2,6.499554500E1,2.551679500E1,2.133376990E1,1.144227505E0,1.686999969E2,1.500000000E0,9.600000381E0
1.049462720E2,6.499553500E1,2.551679833E1,2.183376024E1,1.138050795E0,1.665500031E2,1.500000000E0,9.800000191E0
1.059462720E2,6.499552500E1,2.551680167E1,2.223375058E1,1.111285329E0,1.715000000E2,1.500000000E0,9.600000381E0
1.069462720E2,6.499551333E1,2.551680500E1,2.253373938E1,1.079372525E0,1.644799957E2,1.500000000E0,9.800000191E0
1.079462720E2,6.499550333E1,2.551681167E1,2.273372930E1,1.089666963E0,1.674100037E2,1.500000000E0,1.019999981E1
1.089462720E2,6.499549333E1,2.551682000E1,2.273371900E1,1.133418322E0,1.580200043E2,1.500000000E0,1.039999962E1
1.099462720E2,6.499548333E1,2.551683333E1,2.283370807E1,1.108196974E0,1.837400055E2,1.399999976E0,9.699999809E0
1.109462720E2,6.499547333E1,2.551683667E1,2.283369841E1,1.080916643E0,1.722200012E2,1.399999976E0,9.899999619E0
1.119462720E2,6.499546167E1,2.551684833E1,2.303368615E1,1.057239413E0,1.767299957E2,1.500000000E0,1.010000038E1
1.129462720E2,6.499545167E1,2.551686167E1,2.313367521E1,1.076284170E0,1.658899994E2,1.500000000E0,1.030000019E1
1.139462720E2,6.499544000E1,2.551687167E1,2.313366316E1,1.087093353E0,1.626699982E2,1.500000000E0,1.069999981E1
1.149462720E2,6.499543000E1,2.551688167E1,2.303365265E1,1.059298277E0,1.976300049E2,1.600000024E0,1.100000000E1
1.159462720E2,6.499542000E1,2.551688000E1,2.303364363E1,1.039224148E0,1.801100006E2,1.600000024E0,1.130000019E1
1.169462720E2,6.499541000E1,2.551688333E1,2.293363397E1,1.021208882E0,1.921600037E2,1.600000024E0,1.160000038E1
1.179462720E2,6.499540167E1,2.551688667E1,2.283362585E1,9.928991795E-1,1.924400024E2,1.600000024E0,1.139999962E1
1.189462720E2,6.499539167E1,2.551689667E1,2.273361534E1,9.470888972E-1,1.892899933E2,1.600000024E0,1.110000038E1
1.199462720E2,6.499538000E1,2.551689833E1,2.283360436E1,9.470888972E-1,1.956900024E2,1.600000024E0,1.130000019E1
1.209462720E2,6.499537000E1,2.551689333E1,2.303359576E1,9.769427776E-1,2.017299957E2,1.600000024E0,1.150000000E1
1.219462720E2,6.499535833E1,2.551689333E1,2.343358498E1,9.928991795E-1,1.920000000E2,1.600000024E0,1.160000038E1
1.229462720E2,6.499534667E1,2.551690333E1,2.353357294E1,9.851783514E-1,1.765000000E2,1.600000024E0,1.189999962E1
1.239462720E2,6.499533833E1,2.551691333E1,2.403356396E1,9.486330748E-1,1.748500061E2,1.700000048E0,1.180000019E1
1.249462720E2,6.499533000E1,2.551692333E1,2.393355499E1,9.558391571E-1,1.687100067E2,1.600000024E0,1.210000038E1
1.259462720E2,6.499532000E1,2.551693167E1,2.413354470E1,9.681925178E-1,1.800000000E2,1.700000048E0,1.260000038E1
1.269462720E2,6.499531000E1,2.551694000E1,2.413353440E1,9.841488600E-1,1.732899933E2,1.700000048E0,1.369999981E1
1.279462720E2,6.499530167E1,2.551694667E1,2.423352585E1,1.002678871E0,1.793899994E2,1.600000024E0,1.410000038E1
1.289462720E2,6.499529333E1,2.551695167E1,2.433351752E1,1.008340836E0,1.858800049E2,1.600000024E0,1.419999981E1
1.299462720E2,6.499528500E1,2.551695833E1,2.483350897E1,1.023267746E0,1.773000031E2,1.700000048E0,1.460000038E1
1.309462720E2,6.499527667E1,2.551696500E1,2.523350043E1,1.009370327E0,1.762100067E2,1.700000048E0,1.489999962E1
1.319462720E2,6.499527167E1,2.551697167E1,2.543349496E1,9.784869552E-1,1.703300018E2,1.799999952E0,1.480000019E1
1.329462720E2,6.499526333E1,2.551697000E1,2.533348748E1,9.609863758E-1,1.675899963E2,1.799999952E0,1.400000000E1
1.339462720E2,6.499525167E1,2.551697000E1,2.533347670E1,9.959874749E-1,1.677299957E2,1.799999952E0,1.330000019E1
1.349462720E2,6.499524167E1,2.551697167E1,2.513346725E1,9.733397365E-1,1.589400024E2,1.799999952E0,1.310000038E1
1.359462720E2,6.499523167E1,2.551698500E1,2.493345632E1,9.465741515E-1,1.563800049E2,1.799999952E0,1.289999962E1
1.369462720E2,6.499522167E1,2.551699000E1,2.493344645E1,9.295883179E-1,1.684100037E2,1.700000048E0,1.289999962E1
1.379462720E2,6.499521333E1,2.551699833E1,2.493343769E1,9.156908393E-1,1.643699951E2,1.700000048E0,1.269999981E1
1.389462720E2,6.499520500E1,2.551700167E1,2.483342957E1,9.012786150E-1,1.646300049E2,1.700000048E0,1.300000000E1
1.399462720E2,6.499519500E1,2.551700333E1,2.463342012E1,8.673069477E-1,1.677700043E2,1.700000048E0,1.319999981E1
1.409462720E2,6.499518833E1,2.551700667E1,2.443341354E1,8.317911029E-1,1.652100067E2,1.700000048E0,1.300000000E1
1.419462720E2,6.499517833E1,2.551700167E1,2.433340494E1,8.225260973E-1,1.683999939E2,1.799999952E0,1.319999981E1
1.429462720E2,6.499516833E1,2.551699000E1,2.423339719E1,8.055402637E-1,1.753500061E2,1.799999952E0,1.280000019E1
1.439462720E2,6.499515833E1,2.551699000E1,2.413338796E1,7.792894244E-1,1.747799988E2,1.799999952E0,1.319999981E1
1.449462720E2,6.499514500E1,2.551698167E1,2.393337671E1,8.101727962E-1,1.780500031E2,1.799999952E0,1.350000000E1
1.459462720E2,6.499513500E1,2.551696667E1,2.393336939E1,8.204672337E-1,1.794600067E2,1.899999976E0,1.260000038E1
1.469462720E2,6.499512000E1,2.551694667E1,2.413335809E1,8.266438842E-1,1.843800049E2,1.899999976E0,1.250000000E1
1.479462720E2,6.499510500E1,2.551692667E1,2.443334678E1,8.379677534E-1,1.869600067E2,1.799999952E0,1.280000019E1
1.489462720E2,6.499508833E1,2.551691667E1,2.503333267E1,8.781161308E-1,1.836499939E2,1.899999976E0,1.139999962E1
1.499462720E2,6.499507500E1,2.551691000E1,2.563332121E1,9.172350168E-1,1.713399963E2,1.799999952E0,1.010000038E1
1.509462720E2,6.499506167E1,2.551690500E1,2.603330953E1,9.306177497E-1,1.610599976E2,1.799999952E0,9.899999619E0
1.519462720E2,6.499505000E1,2.551689333E1,2.653330025E1,9.141466618E-1,1.699299927E2,1.799999952E0,1.019999981E1
1.529462720E2,6.499503667E1,2.551689000E1,2.643328836E1,9.146614075E-1,1.697200012E2,1.700000048E0,1.010000038E1
1.539462720E2,6.499502333E1,2.551687833E1,2.643327753E1,9.203233123E-1,1.735099945E2,1.700000048E0,1.030000019E1
1.549462720E2,6.499501000E1,2.551686167E1,2.653326735E1,8.920136094E-1,1.694299927E2,1.799999952E0,1.069999981E1
1.559462720E2,6.499499667E1,2.551685333E1,2.663325610E1,8.827486038E-1,1.681000061E2,1.700000048E0,9.500000000E0
1.569462720E2,6.499498333E1,2.551684333E1,2.663324506E1,8.590713739E-1,1.694199982E2,1.799999952E0,9.600000381E0
1.579462720E2,6.499496833E1,2.551684167E1,2.583323142E1,8.312764168E-1,1.750599976E2,1.700000048E0,9.399999619E0
1.589462720E2,6.499495500E1,2.551682833E1,2.583322081E1,7.875249982E-1,1.821799927E2,1.700000048E0,9.399999619E0
1.599462720E2,6.499494167E1,2.551681833E1,2.573320978E1,7.550975084E-1,1.836199951E2,1.700000048E0,9.500000000E0
1.609462720E2,6.499492833E1,2.551682000E1,2.543319725E1,7.556121945E-1,1.892799988E2,1.600000024E0,9.300000191E0
1.619462720E2,6.499491833E1,2.551681000E1,2.503318929E1,7.751716375E-1,1.996000061E2,1.600000024E0,9.600000381E0
1.629462720E2,6.499490500E1,2.551679833E1,2.463317847E1,8.019372225E-1,2.148200073E2,1.600000024E0,9.500000000E0
1.639462720E2,6.499489667E1,2.551678500E1,2.413317248E1,8.209819198E-1,2.198300018E2,1.600000024E0,9.600000381E0
1.649462720E2,6.499488667E1,2.551677000E1,2.393316516E1,8.616449833E-1,2.238600006E2,1.600000024E0,8.600000381E0
1.659462720E2,6.499487667E1,2.551675667E1,2.383315762E1,8.909841776E-1,2.292799988E2,1.600000024E0,8.699999809E0
1.669462720E2,6.499487000E1,2.551673833E1,2.373315381E1,9.089994431E-1,2.406600037E2,1.600000024E0,9.100000381E0
1.679462720E2,6.499486500E1,2.551672000E1,2.383315153E1,9.234116673E-1,2.393899994E2,1.600000024E0,9.100000381E0
1.689462720E2,6.499485833E1,2.551671000E1,2.323314665E1,9.414269328E-1,2.302100067E2,1.600000024E0,8.699999809E0
1.699462720E2,6.499485167E1,2.551668500E1,2.283314369E1,9.851783514E-1,2.338899994E2,1.600000024E0,8.500000000E0
1.709462720E2,6.499485000E1,2.551665833E1,2.253314555E1,9.815752506E-1,2.477299957E2,1.600000024E0,8.500000000E0
